id,nombre,tipo,horario,precio,servicios,direccion,telefono
1,Angelitos Care,Guarderías,"L-V 7:00-18:00","$12,000/mes",,Calle Ficticia 123,555-123-4567
2,Salón de Eventos La Cuchara,Salón de eventos,"Renta 8 horas","$8,000","Mesas,Sillas,Banquete,Animador,Bebidas",Calle Imaginaria 456,555-987-6543
3,Farmacia Infantil Salud,Salud y bienestar,"L-V 8:00-20:00","-",Medicamentos infantiles,Calle Salud 101,555-111-2222
4,Clínica Pediátrica Tabasco,Salud y bienestar,"L-S 9:00-19:00","Consulta $400","Pediatría, Vacunas",Av. Niños 55,555-333-4444
5,Psicólogos Pequeños Gigantes,Salud y bienestar,"L-V 10:00-18:00","Consulta $500","Psicología infantil",Calle Mente 22,555-555-6666
6,Accesorios BabyCare,Salud y bienestar,"L-D 10:00-21:00","-",Accesorios especializados,Centro Comercial Plaza 1,555-777-8888
7,Kids Fashion,Salud y bienestar,"L-D 11:00-20:00","-",Moda especializada,Calle Estilo 23,555-999-0000
8,Salón Infantil Pequeños Cortes,Salud y bienestar,"L-D 10:00-19:00","Corte $150",Peluquería infantil,Av. Corta 12,555-101-2020
9,Escuela de Natación Delfines,Salud y bienestar,"L-S 7:00-19:00","Clase $200",Natación,Calle Agua 8,555-303-4040
10,Academia de Fútbol Chiquitines,Salud y bienestar,"L-V 16:00-20:00","Mensualidad $800",Fútbol,Campo Verde 9,555-505-6060
11,Escuela de Béisbol Pequeños Astros,Salud y bienestar,"S-D 8:00-12:00","Mensualidad $700",Béisbol,Campo Astros 10,555-707-8080
12,Academia Infantil de Basketball,Salud y bienestar,"S 10:00-12:00","Mensualidad $600",Basketball,Gimnasio Centro 2,555-909-1010
13,Colegio Tabasco,Educación,"L-V 7:00-14:00","$3,000/mes","Preescolar, Primaria",Av. Escuela 100,555-121-3141
14,Centro de Idiomas Kids,Educación,"L-V 16:00-20:00","$1,200/mes",Idiomas,Calle Inglés 4,555-151-6171
15,Academia de Programación Infantil,Educación,"S 10:00-13:00","$1,000/mes",Programación,Calle Código 7,555-181-9202
16,Taller de Arte Creativo,Educación,"S 11:00-14:00","$900/mes",Talleres de arte,Calle Pintura 3,555-212-2232
17,Clases de Regularización Tabasco,Educación,"L-V 15:00-19:00","$150/hora",Clases de regularización,Calle Apoyo 5,555-242-5262
18,Transporte Escolar Segurito,Educación,"L-V 6:30-16:00","$1,000/mes",Transporte escolar,Calle Ruta 8,555-272-8292
19,Uniformes Escolares Tabasco,Educación,"L-S 9:00-18:00","-",Uniformes escolares,Calle Uniforme 10,555-303-1323
20,Uniformes Deportivos Kids,Educación,"L-S 9:00-18:00","-",Uniformes deportivos,Calle Deporte 11,555-333-4353
21,Accesorios Escolares ABC,Educación,"L-D 10:00-20:00","-",Accesorios,Calle Mochila 1,555-363-7383
22,Salón de Fiestas Mundo Mágico,Eventos,"Renta 6 horas","$7,000","Salón infantil, Inflables, Animador",Calle Fiesta 6,555-393-0414
23,Locación Especializada Jardín Feliz,Eventos,"Renta por evento","$10,000","Locación, Ambientes controlados",Carretera Verde 20,555-424-3444
24,Ambiente Controlado PlayZone,Eventos,"Renta por hora","$500/hora","Ambiente controlado, Videojuegos",Calle Juego 2,555-454-6474
25,Alquiler Mesas y Sillas Tabasco,Eventos,"Por evento","$500","Mesas, Sillas",Calle Alquiler 3,555-484-9505
26,Inflables y Diversión,Eventos,"Por evento","Desde $1,000",Inflables,Calle Brinco 7,555-515-2535
27,Animaciones Infantiles Risas,Eventos,"Por evento","Desde $1,500",Animador,Payasos,Calle Risa 8,555-545-5565
28,Banquetes y Dulcería Dulce Sabor,Eventos,"Por evento","Desde $2,000","Comida, bebida, dulcería",Calle Dulce 9,555-575-8595
29,Disfraces y Maquillajes Kids,Eventos,"L-D 10:00-20:00","-",Disfraces, Maquillajes,Calle Disfraz 10,555-606-1626
30,Salón de Videojuegos Pixel Kids,Eventos,"Renta por hora","$800/hora",Salas de videojuegos,Calle Pixel 11,555-636-4656
31,Eventos Infantiles Alegría,Eventos,"Por evento","Desde $5,000","Eventos infantiles, culturales, sociales",Calle Evento 12,555-666-7686